ACC_ID	distance_threshold	num_clusters
Q8IUF8	2.599685750239825	2
Q63472	2.6810866971765805	4
Q6ZUJ8	2.6737712442665447	2
O00762	2.273761473454013	6
O76094	3.581417224960075	3
Q9JK66	2.530071906047999	5
Q8CJ12	0.9582524669762331	5
O55164	2.137756599004283	4
Q9DBR4	2.520222181933756	4
P46940	3.271334789229918	4
Q14626	2.74809020995797	4
Q7Z6M4	3.6015943371112553	4
Q96JM7	1.6557773037270307	4
Q8N4P3	2.468959699954618	2
P10275	10.280184021329926	2
Q02880	3.8206473818103754	4
P00374	9.622669009104282	3
O00567	0.019157244060668023	2
P35236	3.61599307837517	2
P30626	3.572978599075707	4
Q9P202	0.0	2
O95503	1.7209015079312353	2
Q9NQT4	1.1425936541682828	3
Q9UPX8	2.659814323278401	3
Q8NB78	3.1867891223818807	4
Q9WUN2	1.57422647671801	2
Q9BSA9	3.9642225593425	2
Q9UJQ4	4.404920873296137	2
Q15637	1.8920324747562136	7
Q8TC59	2.3073316155512176	5
P02489	3.6788945997857594	4
P15814	1.4357990993602654	3
O15371	1.9001461169643203	4
Q9P126	2.464178239407201	4
P08254	7.952282052889331	3
Q9CQH3	2.165124602271532	3
O95407	1.937628484570286	8
P54289	2.4898137802724065	3
Q6SPF0	4.377666582949081	3
P26599	4.334564824031233	4
P51610	0.0	2
Q07955	2.4279774691058256	5
Q9UHP7	3.458124857973369	2
P15121	14.482303659389132	2
Q8TBE9	2.8196681837880617	2
Q9ULC4	3.8380427042960323	2
Q9UHD2	4.515238889281376	4
O43837	5.560777164606758	3
Q03933	3.4550124523256294	4
P01904	2.5978772744941843	2
P00846	2.0624729164266355	3
Q8WY64	3.250843744835487	3
P35444	2.116110671518192	5
P33261	0.7193912537054334	3
Q9UBI1	0.06462971452822597	3
P30711	3.3616787225035845	2
Q99731	1.9692895504047476	2
Q969X0	2.176823544809279	4
P0DP29	5.741552699791531	2
P01820	5.583001818031614	2
Q9BYW2	5.570606417481059	2
Q92993	3.3025820268114634	3
P23378	2.578944021623321	2
Q8IVW8	3.6164448209335562	2
Q8TCE9	0.01104536101718745	2
P11274	3.397107712762978	4
Q03188	2.372939211189364	2
Q1MX18	0.81832511876393	2
Q6NSJ0	2.4295056687373777	4
P41586	1.3815823054261613	2
P25942	4.8147109504745735	3
O94972	2.097660124996421	2
O75385	4.8619410502067195	4
Q9QZE5	1.8911924809495195	2
Q9UKV5	3.092282005251138	2
Q16875	3.794783770739338	2
P52800	2.5678584988241164	4
Q9P0N9	2.6892817256657957	2
P68371	12.974176311038534	3
Q13133	3.2399149207117963	3
P19652	2.3921460030698714	4
P98066	3.255819675245401	3
Q5JST6	0.027440368802186255	3
P60901	1.0179935535563764	3
P30419	8.699689710629801	3
P12724	4.0520830342490415	3
Q9UKK3	4.007103831091603	4
Q8BK30	2.021602329272767	3
P00405	1.6000127811989504	2
O15357	4.7739544021063764	2
O14793	2.503408319384773	4
O15245	2.8009415559772033	2
Q8N138	4.102032839540252	2
Q9HC35	1.238223727764898	2
Q13822	2.3328450513375074	4
Q9UJM8	2.999026527975295	3
Q9H993	0.01865475810617756	3
Q9H813	3.5792709879092826	4
O15498	0.03645545226711633	3
P84095	1.674827659588738	6
P60604	3.01647443218072	2
Q7Z4G1	0.13039171752837664	3
Q8BTU1	0.06953560239186807	3
P49916	3.1759629477073466	3
Q9NVH0	4.317109491903045	2
P70207	3.0234658573703292	5
Q9D0B8	0.054267854204860466	3
Q8BHK0	3.2541874049701978	2
Q8IYH5	1.378247800651247	2
Q9GZX6	3.3114455735089576	4
P06733	0.6452658366905846	2
O14684	3.8395609090570466	2
O95166	5.6893138354989565	4
P37198	3.2824835029036654	4
P62312	4.282172998305017	2
P00390	5.101999107903793	3
Q13011	2.7637381192687274	4
Q8VDU0	4.104631598856561	3
Q99558	4.223728499995508	3
P12277	2.2710142108669684	5
P78560	2.592615204044473	4
Q9UJA9	0.7633256185927471	2
O75509	0.017320508075688856	2
Q99437	0.9591986353453406	4
P57735	2.0525934814278255	2
Q3V3E1	0.09531236442563262	4
P19174	2.7003047591540423	4
P05023	0.023130067012440747	3
O96013	7.169259350860844	3
Q8BFU0	2.4165258736842024	3
Q96E22	0.060745370193949544	3
Q9HB20	0.700058568978339	3
Q9H4K1	0.5160880092904052	3
Q9QY93	3.55459372489221	4
Q9CQV5	0.09516827202382105	2
P19491	18.472435113981547	4
Q9EPK8	3.0247877690963607	3
P07356	0.038522720568516355	3
Q9CU62	0.09553533377761347	2
P12931	8.729847147997047	2
Q53GS7	1.4987154499770794	3
P13987	4.300223877372368	4
P51943	1.8348328022370737	4
P51685	2.8105495903826356	2
P09958	6.237902173589512	2
P61803	1.6462384395949452	2
Q14344	1.4411818067128102	2
Q14289	4.893765411752299	2
Q8VIG3	2.737303589301388	4
